2026-05-06 15:08:49.727 [main] INFO  [] e.o.c.ChatServiceApplication - Starting ChatServiceApplication using Java 21.0.7 with PID 16392 (/Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service/build/classes/java/main started by matchattatoyaem in /Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service)
2026-05-06 15:08:49.728 [main] INFO  [] e.o.c.ChatServiceApplication - The following 1 profile is active: "local"
2026-05-06 15:08:50.110 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-05-06 15:08:50.114 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2026-05-06 15:08:50.115 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-06 15:08:50.115 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-05-06 15:08:50.129 [main] INFO  [] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 385 ms
2026-05-06 15:08:50.174 [main] INFO  [] n.d.b.g.c.a.GrpcClientAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyChannelFactory + InProcessChannelFactory
2026-05-06 15:08:51.058 [main] INFO  [] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-06 15:08:51.151 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-05-06 15:08:51.151 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@5fd4e67f]]
2026-05-06 15:08:51.152 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-05-06 15:08:51.152 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2026-05-06 15:08:51.155 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2026-05-06 15:08:51.158 [main] INFO  [] e.o.c.ChatServiceApplication - Started ChatServiceApplication in 1.577 seconds (process running for 1.791)
2026-05-06 15:08:53.552 [http-nio-8082-exec-2] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-06 15:08:53.552 [http-nio-8082-exec-2] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-06 15:08:53.553 [http-nio-8082-exec-2] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-05-06 15:08:53.559 [http-nio-8082-exec-2] WARN  [61d0f2f90063] o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/chat-sessions/a702516e-c8ad-4b66-8fff-7766c5e26862/answer-rating' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
2026-05-06 15:08:53.593 [http-nio-8082-exec-2] INFO  [61d0f2f90063] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-06 15:08:53.661 [http-nio-8082-exec-2] INFO  [61d0f2f90063] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@df3ac54
2026-05-06 15:08:53.661 [http-nio-8082-exec-2] INFO  [61d0f2f90063] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-06 15:08:53.674 [http-nio-8082-exec-2] INFO  [61d0f2f90063] e.o.c.service.ChatSessionService - Not a valid chat history
2026-05-06 15:08:53.678 [http-nio-8082-exec-2] INFO  [61d0f2f90063] e.o.c.service.ChatSessionService - Rate chat answer: [{"answer":"A bird is a type of animal that belongs to the class Aves. Birds have several distinguishing features. They have feathers, which help them fly, insulate their bodies, and regulate their body temperature. Birds also have beaks instead of teeth, and their skeletons are lightweight and highly adaptable. Birds are found all over the world, and they come in a wide variety of sizes, shapes, and colors. Some birds are solitary and live in isolated areas, while others live in large flocks and can be found in a wide range of habitats, including forests, grasslands, deserts, wetlands, and coastal areas. Birds play an important role in many ecosystems, and they are an important source of food for many people around the world.","question":"what is bird","response_date":"2026-04-20T19:30:26.587504+09:30","response_time":"6834ms","document_reference_id":""}]
2026-05-06 15:08:53.686 [http-nio-8082-exec-2] INFO  [61d0f2f90063] e.o.s.filter.RequestLoggingFilter - [61d0f2f90063] PUT /api/chat-sessions/a702516e-c8ad-4b66-8fff-7766c5e26862/answer-rating | status=200 | ip=0:0:0:0:0:0:0:1 | user=anonymous | 132ms
2026-05-06 15:09:21.635 [http-nio-8082-exec-3] INFO  [839cde189910] e.o.c.service.ChatSessionService - Rate chat answer: [{"answer":"A bird is a type of animal that belongs to the class Aves. Birds have several distinguishing features. They have feathers, which help them fly, insulate their bodies, and regulate their body temperature. Birds also have beaks instead of teeth, and their skeletons are lightweight and highly adaptable. Birds are found all over the world, and they come in a wide variety of sizes, shapes, and colors. Some birds are solitary and live in isolated areas, while others live in large flocks and can be found in a wide range of habitats, including forests, grasslands, deserts, wetlands, and coastal areas. Birds play an important role in many ecosystems, and they are an important source of food for many people around the world.","answerId":"99306983-e5a0-4d97-a2a9-5e30111aac24","question":"what is bird","response_date":"2026-04-20T19:30:26.587504+09:30","response_time":"6834ms","document_reference_id":"","rating":5}]
2026-05-06 15:09:21.640 [http-nio-8082-exec-3] INFO  [839cde189910] e.o.s.filter.RequestLoggingFilter - [839cde189910] PUT /api/chat-sessions/a702516e-c8ad-4b66-8fff-7766c5e26862/answer-rating | status=200 | ip=0:0:0:0:0:0:0:1 | user=anonymous | 16ms
2026-05-06 15:09:51.161 [MessageBroker-1] INFO  [] o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-05-06 15:15:25.080 [SpringApplicationShutdownHook] INFO  [] o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-05-06 15:15:25.089 [tomcat-shutdown] INFO  [] o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-05-06 15:15:25.090 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-05-06 15:15:25.090 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@5fd4e67f]]
2026-05-06 15:15:25.090 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-05-06 15:15:25.092 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-05-06 15:15:25.093 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-05-06 15:15:26.638 [main] INFO  [] e.o.c.ChatServiceApplication - Starting ChatServiceApplication using Java 21.0.7 with PID 33123 (/Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service/build/classes/java/main started by matchattatoyaem in /Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service)
